id;timestamp;entry_id;amount_charged
1;2025-05-14 19:22:39.805351;1;1.28
2;2025-05-14 19:36:39.805351;2;1.48
3;2025-05-14 19:28:39.805351;3;2.67
4;2025-05-14 21:09:39.805351;5;2.98
5;2025-05-14 19:41:39.805351;7;1.52
6;2025-05-14 20:44:39.805351;8;2.55
7;2025-05-14 22:38:39.805351;14;8.7
8;2025-05-14 19:29:39.805351;25;1.02
9;2025-05-14 22:24:39.805351;23;15.87
10;2025-05-14 22:07:39.805351;30;7.07
11;2025-05-14 20:47:39.805351;27;2.25
12;2025-05-14 21:12:39.805351;34;2.57
13;2025-05-14 22:33:39.805351;12;17.27
14;2025-05-14 20:04:39.805351;37;0.7
15;2025-05-14 21:35:39.805351;18;3.23
16;2025-05-14 20:42:39.805351;24;2.25
17;2025-05-14 20:04:39.805351;4;1.92
18;2025-05-14 21:29:39.805351;35;11.33
19;2025-05-14 20:52:39.805351;50;4.1
20;2025-05-15 00:29:39.805351;45;11.43
21;2025-05-14 19:42:39.805351;48;0.88
22;2025-05-14 22:06:39.805351;64;6.13
23;2025-05-14 21:29:39.805351;56;2.57
24;2025-05-14 20:13:39.805351;33;1.6
25;2025-05-14 22:57:39.805351;59;3.98
26;2025-05-14 22:22:39.805351;73;3.2
27;2025-05-14 23:54:39.805351;63;4.9
28;2025-05-14 19:10:39.805351;70;0.25
29;2025-05-14 23:44:39.805351;46;9.9
30;2025-05-14 19:24:39.805351;69;0.27
31;2025-05-14 22:21:39.805351;55;1.72
32;2025-05-14 23:29:39.805351;43;9.5
33;2025-05-14 21:39:39.805351;28;12.47
34;2025-05-14 19:48:39.805351;38;0.57
35;2025-05-14 23:25:39.805351;15;5.12
36;2025-05-14 21:24:39.805351;10;12.8
37;2025-05-14 19:22:39.805351;67;0.12
38;2025-05-14 21:54:39.805351;54;12.13
39;2025-05-14 19:21:39.805351;6;0.59
40;2025-05-14 22:38:39.805351;78;1.64
41;2025-05-14 20:36:39.805351;21;8.93
42;2025-05-14 23:12:39.805351;19;4.85
43;2025-05-14 21:33:39.805351;76;2.3
44;2025-05-14 22:34:39.805351;26;4.05
45;2025-05-14 23:11:39.805351;57;4.25
46;2025-05-15 00:17:39.805351;85;19.2
47;2025-05-14 23:42:39.805351;91;16.2
48;2025-05-15 00:18:39.805351;32;5.72
49;2025-05-14 20:28:39.805351;20;2.1
50;2025-05-15 00:27:39.805351;74;5.27
51;2025-05-14 21:01:39.805351;100;1.22
52;2025-05-15 00:47:39.805351;72;11.27
53;2025-05-14 22:30:39.805351;99;2.72
54;2025-05-14 19:02:39.805351;9;0.85
55;2025-05-14 21:03:39.805351;102;2.43
56;2025-05-15 01:09:39.805351;97;5.4
57;2025-05-14 20:35:39.805351;98;0.83
58;2025-05-14 20:39:39.805351;44;1.92
59;2025-05-14 20:50:39.805351;47;4.1
60;2025-05-15 00:46:39.805351;65;22.8
61;2025-05-14 20:17:39.805351;87;0.39
62;2025-05-14 20:41:39.805351;94;0.98
63;2025-05-15 00:03:39.805351;39;5.37
64;2025-05-15 00:14:39.805351;60;2.62
65;2025-05-14 23:46:39.805351;89;2.08
66;2025-05-14 20:21:39.805351;52;3.0
67;2025-05-14 21:07:39.805351;49;1.15
68;2025-05-15 01:36:39.805351;111;2.72
69;2025-05-14 20:57:39.805351;103;1.1
70;2025-05-15 00:38:39.805351;75;5.42
71;2025-05-14 21:44:39.805351;93;8.2
72;2025-05-14 22:12:39.805351;83;11.2
73;2025-05-14 20:54:39.805351;41;8.8
74;2025-05-14 21:44:39.805351;42;3.02
75;2025-05-14 21:44:39.805351;77;2.47
76;2025-05-14 22:26:39.805351;79;6.17
77;2025-05-14 22:41:39.805351;82;6.57
78;2025-05-15 01:26:39.805351;86;5.93
79;2025-05-14 22:27:39.805351;101;2.65
80;2025-05-15 00:54:39.805351;128;4.37
81;2025-05-14 23:29:39.805351;40;4.78
82;2025-05-15 00:19:39.805351;115;4.07
83;2025-05-14 19:33:39.805351;11;2.67
84;2025-05-15 00:55:39.805351;95;5.2
85;2025-05-14 22:43:39.805351;31;8.27
86;2025-05-15 00:03:39.805351;117;1.88
87;2025-05-14 20:58:39.805351;51;2.15
88;2025-05-14 20:46:39.805351;29;4.4
89;2025-05-14 21:40:39.805351;106;1.75
90;2025-05-14 20:07:39.805351;16;1.8
91;2025-05-14 23:36:39.805351;84;2.07
92;2025-05-15 00:08:39.805351;125;3.67
93;2025-05-15 01:36:39.805351;140;2.38
94;2025-05-14 20:06:39.805351;109;0.5
95;2025-05-14 21:23:39.805351;17;1.52
96;2025-05-14 21:00:39.805351;114;0.38
97;2025-05-14 22:07:39.805351;58;3.17
98;2025-05-14 20:46:39.805351;113;0.27
99;2025-05-15 02:04:39.805351;144;10.3
100;2025-05-15 01:30:39.805351;133;4.78
101;2025-05-14 22:44:39.805351;129;2.18
102;2025-05-14 22:24:39.805351;134;3.37
103;2025-05-15 00:12:39.805351;122;15.2
104;2025-05-15 02:07:39.805351;119;5.77
105;2025-05-14 23:19:39.805351;137;5.0
106;2025-05-14 20:47:39.805351;108;0.7
107;2025-05-14 20:17:39.805351;22;3.8
108;2025-05-15 02:48:39.805351;156;5.68
109;2025-05-14 22:39:39.805351;130;2.05
110;2025-05-14 20:15:39.805351;107;0.25
111;2025-05-14 21:33:39.805351;120;4.67
112;2025-05-15 02:05:39.805351;159;19.47
113;2025-05-14 21:06:39.805351;88;0.77
114;2025-05-14 23:47:39.805351;126;6.57
115;2025-05-14 20:56:39.805351;68;0.9
116;2025-05-14 20:35:39.805351;92;0.92
117;2025-05-15 01:34:39.805351;149;9.13
118;2025-05-14 21:50:39.805351;131;1.23
119;2025-05-14 22:48:39.805351;143;0.95
120;2025-05-14 21:44:39.805351;145;0.4
121;2025-05-15 01:38:39.805351;151;4.6
122;2025-05-15 00:35:39.805351;66;11.0
123;2025-05-14 21:06:39.805351;118;0.39
124;2025-05-14 23:39:39.805351;165;1.15
125;2025-05-15 01:44:39.805351;170;2.15
126;2025-05-14 22:01:39.805351;154;1.83
